league,match_seq,cum_pnl
"Germany, Bundesliga",5,110.0
"Germany, Bundesliga",6,210.0
"Germany, Bundesliga",7,310.0
"Germany, Bundesliga",8,410.0
"Germany, Bundesliga",9,510.0
"Germany, Bundesliga",10,610.0
"Germany, Bundesliga",11,710.0
"Germany, Bundesliga",12,810.0
"Germany, Bundesliga",13,550.0
"Germany, Bundesliga",14,650.0
"Germany, Bundesliga",15,390.0
"Germany, Bundesliga",16,490.0
"Germany, Bundesliga",17,590.0
"Germany, Bundesliga",18,690.0
"Germany, Bundesliga",19,790.0
"Germany, Bundesliga",20,550.0
"Greece, Super League 1",1,100.0
"Greece, Super League 1",2,200.0
"Greece, Super League 1",3,300.0
"Greece, Super League 1",4,400.0
"Greece, Super League 1",5,500.0
"Greece, Super League 1",6,600.0
"Greece, Super League 1",7,700.0
"Greece, Super League 1",8,410.0
"Greece, Super League 1",9,510.0
"Greece, Super League 1",10,610.0
"Greece, Super League 1",11,330.0
"Iceland, 1. Deild",1,100.0
"Iceland, 1. Deild",2,200.0
"Iceland, 1. Deild",3,300.0
"Iceland, 1. Deild",4,400.0
"Iceland, 1. Deild",5,500.0
"Iceland, 1. Deild",6,600.0
"Iceland, 1. Deild",7,340.0
"Iceland, 1. Deild",8,440.0
"Iceland, 1. Deild",9,540.0
"Iceland, 1. Deild",10,250.0
"Iceland, 1. Deild",11,350.0
"Iceland, 1. Deild",12,450.0
"Iceland, 1. Deild",13,550.0
"Iceland, 1. Deild",14,650.0
"Iceland, 1. Deild",15,750.0
"Iceland, 1. Deild",16,850.0
"Iceland, 1. Deild",17,950.0
"Iceland, 1. Deild",18,1050.0
"Iceland, 1. Deild",19,1150.0
"Iceland, 1. Deild",20,1250.0
"Iceland, 1. Deild",21,990.0
"Iceland, 1. Deild",22,1090.0
"Iceland, 1. Deild",23,1190.0
"Iceland, 1. Deild",24,1290.0
"Iceland, 1. Deild",25,1390.0
"Iceland, 1. Deild",26,1110.0
"Iceland, 1. Deild",27,835.0
"Iceland, 1. Deild",28,935.0
"Iceland, 1. Deild",29,1035.0
"Indonesia, Liga 1",1,-240.0
"Indonesia, Liga 1",2,-140.0
"Indonesia, Liga 1",3,-40.0
"Indonesia, Liga 1",4,60.0
"Indonesia, Liga 1",5,160.0
"Indonesia, Liga 1",6,-100.0
"Indonesia, Liga 1",7,0.0
"Indonesia, Liga 1",8,100.0
"Indonesia, Liga 1",9,200.0
"Indonesia, Liga 1",10,300.0
"Indonesia, Liga 1",11,400.0
"Indonesia, Liga 1",12,190.0
"Indonesia, Liga 1",13,290.0
"Indonesia, Liga 1",14,390.0
"Indonesia, Liga 1",15,180.0
"Indonesia, Liga 1",16,-70.0
"Indonesia, Liga 1",17,30.0
"Indonesia, Liga 1",18,130.0
"Indonesia, Liga 1",19,230.0
"Indonesia, Liga 1",20,330.0
"Indonesia, Liga 1",21,430.0
"Indonesia, Liga 1",22,530.0
"Indonesia, Liga 1",23,310.0
"Indonesia, Liga 1",24,410.0
"Indonesia, Liga 1",25,510.0
"Indonesia, Liga 1",26,285.0
"Indonesia, Liga 1",27,75.0
"Indonesia, Liga 1",28,175.0
"Indonesia, Liga 1",29,275.0
"Indonesia, Liga 1",30,375.0
"Indonesia, Liga 1",31,175.0
"Ireland, First Division",1,-270.0
"Ireland, First Division",2,-170.0
"Ireland, First Division",3,-70.0
"Ireland, First Division",4,30.0
"Ireland, First Division",5,130.0
"Ireland, First Division",6,-140.0
"Ireland, First Division",7,-380.0
